Saison;Rang;Club;Joués;V;N;D;BO;BD;PM;PE;Diff;Pts;
2018_2019;1;Stade toulousain;26;21;2;3;9;1;820;508;312;98;
2018_2019;2;ASM Clermont;26;16;3;7;9;4;828;535;293;83;
2018_2019;3;Lyon OU;26;17;1;8;7;1;683;525;158;78;
2018_2019;4;Racing 92;26;15;1;10;8;4;750;563;187;74;
2018_2019;5;Stade rochelais;26;16;0;10;6;1;719;616;103;71;
2018_2019;6;Montpellier HR;26;14;1;11;6;6;659;546;113;70;
2018_2019;7;Castres olympique (T);26;15;0;11;4;5;508;499;9;69;
2018_2019;8;Stade français Paris;26;14;0;12;4;4;583;579;4;64;
2018_2019;9;RC Toulon;26;12;0;14;6;3;572;542;30;57;
2018_2019;10;Union Bordeaux Bègles;26;12;1;13;4;3;618;711;-93;57;
2018_2019;11;Section paloise;26;9;0;17;2;5;501;763;-262;43;
2018_2019;12;SU Agen;26;8;1;17;0;4;431;654;-223;38;
2018_2019;13;FC Grenoble (P);26;5;2;19;0;5;448;691;-243;29;
2018_2019;14;USA Perpignan (P);26;2;0;24;0;4;433;821;-388;12;
2017_2018;1;Montpellier HR;26;17;0;9;12;1;752;559;193;81;
2017_2018;2;Racing 92;26;18;0;8;5;3;622;478;144;80;
2017_2018;3;Stade toulousain;26;16;1;9;4;4;719;595;124;74;
2017_2018;4;RC Toulon;26;14;0;12;9;8;766;507;259;73;
2017_2018;5;Lyon OU;26;15;0;11;7;3;699;541;158;70;
2017_2018;6;Castres olympique;26;15;0;11;4;5;637;624;13;69;
2017_2018;7;Stade rochelais;26;14;1;11;6;3;686;531;155;67;
2017_2018;8;Section paloise;26;15;0;11;2;4;590;584;6;66;
2017_2018;9;ASM Clermont (T);26;11;1;14;4;4;629;687;-58;54;
2017_2018;10;Union Bordeaux Bègles;26;10;1;15;2;3;557;623;-66;47;
2017_2018;11;SU Agen (P);26;10;0;16;2;4;537;757;-220;46;
2017_2018;12;Stade français Paris;26;9;0;17;2;4;560;740;-180;42;
2017_2018;13;US Oyonnax (P);26;7;3;16;1;4;566;823;-257;39;
2017_2018;14;CA Brive;26;7;1;18;1;5;485;726;-241;36;
2016_2017;1;Stade rochelais;26;17;3;6;6;5;707;498;209;85;
2016_2017;2;ASM Clermont;26;15;3;8;8;4;800;562;238;78;
2016_2017;3;Montpellier HR;26;16;0;10;7;5;750;564;186;76;
2016_2017;4;RC Toulon;26;14;2;10;5;4;674;511;163;69;
2016_2017;5;Castres olympique;26;13;1;12;5;4;667;509;158;63;
2016_2017;6;Racing 92 (T);26;14;1;11;3;1;586;616;-30;62;
2016_2017;7;Stade français Paris;26;12;1;13;5;4;643;638;5;59;
2016_2017;8;CA Brive;26;13;1;12;0;4;577;634;-57;58;
2016_2017;9;Section paloise;26;12;1;13;2;5;604;701;-97;57;
2016_2017;10;Lyon OU (P);26;11;2;13;3;4;573;632;-59;55;
2016_2017;11;Union Bordeaux Bègles;26;11;1;14;2;6;569;581;-12;54;
2016_2017;12;Stade toulousain;26;11;0;15;3;6;537;561;-24;53;
2016_2017;13;FC Grenoble;26;7;1;18;2;6;611;852;-241;38;
2016_2017;14;Aviron bayonnais (P);26;6;3;17;0;0;466;905;-439;30;
2015_2016;1;ASM Clermont;26;18;1;7;10;4;735;431;304;88;
2015_2016;2;RC Toulon;26;16;0;10;11;7;764;446;318;82;
2015_2016;3;Montpellier HR;26;18;0;8;7;2;723;569;154;81;
2015_2016;4;Racing 92;26;18;1;7;5;2;614;522;92;81;
2015_2016;5;Stade toulousain;26;16;2;8;7;4;680;393;287;79;
2015_2016;6;Castres olympique;26;15;0;11;6;5;650;496;154;71;
2015_2016;7;Union Bordeaux Bègles;26;14;2;10;3;4;552;503;49;67;
2015_2016;8;CA Brive;26;13;1;12;4;4;540;545;-5;62;
2015_2016;9;Stade rochelais;26;11;0;15;4;6;553;656;-103;54;
2015_2016;10;FC Grenoble;26;10;0;16;4;3;605;779;-174;47;
2015_2016;11;Section paloise (P);26;10;1;15;1;3;420;675;-255;46;
2015_2016;12;Stade français Paris (T);26;9;0;17;2;3;543;631;-88;41;
2015_2016;13;SU Agen (P);26;5;0;21;1;5;531;846;-315;26;
2015_2016;14;US Oyonnax;26;5;0;21;2;2;429;847;-418;24;
2014_2015;1;RC Toulon (T);26;16;0;10;7;5;740;525;215;76;
2014_2015;2;ASM Clermont;26;16;1;9;5;4;630;464;166;75;
2014_2015;3;Stade toulousain;26;16;0;10;3;3;573;504;69;70;
2014_2015;4;Stade français Paris;26;15;1;10;6;2;591;576;15;70;
2014_2015;5;Racing Métro 92;26;13;3;10;3;4;551;497;54;65;
2014_2015;6;US Oyonnax;26;14;0;12;2;4;514;507;7;62;
2014_2015;7;Union Bordeaux Bègles;26;12;0;14;4;9;701;578;123;61;
2014_2015;8;Montpellier HR;26;11;2;13;2;5;537;516;21;55;
2014_2015;9;Stade rochelais (P);26;10;5;11;2;2;520;659;-139;54;
2014_2015;10;CA Brive;26;12;0;14;3;2;502;619;-117;53;
2014_2015;11;FC Grenoble;26;11;0;15;3;6;626;735;-109;53;
2014_2015;12;Castres olympique;26;11;0;15;4;4;509;627;-118;52;
2014_2015;13;Aviron bayonnais;26;10;1;15;5;5;522;548;-26;52;
2014_2015;14;Lyon OU (P);26;8;1;17;0;7;469;630;-161;41;
2013_2014;1;RC Toulon;26;16;1;9;5;6;660;466;194;77;
2013_2014;2;Montpellier HR;26;15;1;10;7;7;670;525;145;76;
2013_2014;3;ASM Clermont;26;15;1;10;6;5;659;500;159;73;
2013_2014;4;Stade toulousain;26;13;2;11;7;6;548;442;106;69;
2013_2014;5;Racing Métro 92;26;15;2;9;1;4;459;448;11;69;
